ST,STATE,ST_ABBR,STCNTY,COUNTY,FIPS,LOCATION,AREA_SQMI,E_TOTPOP,M_TOTPOP,E_HU,M_HU,E_HH,M_HH,E_POV150,M_POV150,E_UNEMP,M_UNEMP,E_HBURD,M_HBURD,E_NOHSDP,M_NOHSDP,E_UNINSUR,M_UNINSUR,E_AGE65,M_AGE65,E_AGE17,M_AGE17,E_DISABL,M_DISABL,E_SNGPNT,M_SNGPNT,E_LIMENG,M_LIMENG,E_MINRTY,M_MINRTY,E_MUNIT,M_MUNIT,E_MOBILE,M_MOBILE,E_CROWD,M_CROWD,E_NOVEH,M_NOVEH,E_GROUPQ,M_GROUPQ,EP_POV150,MP_POV150,EP_UNEMP,MP_UNEMP,EP_HBURD,MP_HBURD,EP_NOHSDP,MP_NOHSDP,EP_UNINSUR,MP_UNINSUR,EP_AGE65,MP_AGE65,EP_AGE17,MP_AGE17,EP_DISABL,MP_DISABL,EP_SNGPNT,MP_SNGPNT,EP_LIMENG,MP_LIMENG,EP_MINRTY,MP_MINRTY,EP_MUNIT,MP_MUNIT,EP_MOBILE,MP_MOBILE,EP_CROWD,MP_CROWD,EP_NOVEH,MP_NOVEH,EP_GROUPQ,MP_GROUPQ,EPL_POV150,EPL_UNEMP,EPL_HBURD,EPL_NOHSDP,EPL_UNINSUR,SPL_THEME1,RPL_THEME1,EPL_AGE65,EPL_AGE17,EPL_DISABL,EPL_SNGPNT,EPL_LIMENG,SPL_THEME2,RPL_THEME2,EPL_MINRTY,SPL_THEME3,RPL_THEME3,EPL_MUNIT,EPL_MOBILE,EPL_CROWD,EPL_NOVEH,EPL_GROUPQ,SPL_THEME4,RPL_THEME4,SPL_THEMES,RPL_THEMES,F_POV150,F_UNEMP,F_HBURD,F_NOHSDP,F_UNINSUR,F_THEME1,F_AGE65,F_AGE17,F_DISABL,F_SNGPNT,F_LIMENG,F_THEME2,F_MINRTY,F_THEME3,F_MUNIT,F_MOBILE,F_CROWD,F_NOVEH,F_GROUPQ,F_THEME4,F_TOTAL,E_DAYPOP,E_NOINT,M_NOINT,E_AFAM,M_AFAM,E_HISP,M_HISP,E_ASIAN,M_ASIAN,E_AIAN,M_AIAN,E_NHPI,M_NHPI,E_TWOMORE,M_TWOMORE,E_OTHERRACE,M_OTHERRACE,EP_NOINT,MP_NOINT,EP_AFAM,MP_AFAM,EP_HISP,MP_HISP,EP_ASIAN,MP_ASIAN,EP_AIAN,MP_AIAN,EP_NHPI,MP_NHPI,EP_TWOMORE,MP_TWOMORE,EP_OTHERRACE,MP_OTHERRACE
48,Texas,TX,48001,Anderson County,48001,"Anderson County, Texas",1062.616344034354,58077,0,20287,71,16899,459,11707,1249,822,249,4150,688,6461,667,7910,885,8569,183,11032,39,7628,774,1317,305,1086,348,25142,383,711,238,3993,426,865,383,1105,369,12619,178,25.7,2.7,3.9,1.1,24.6,4.0,15.2,1.5,17.4,1.9,14.8,0.3,19.0,0.1,16.8,1.7,7.8,1.8,2.0,0.6,43.3,0.7,3.5,1.2,19.7,2.1,5.1,2.3,6.5,2.2,21.7,0.3,0.5099,0.3597,0.7708,0.4941,0.5613,2.6958,0.585,0.2885,0.0988,0.6324,0.7194,0.2885,2.0276,0.1897,0.5059,0.5059,0.5059,0.6601,0.7787,0.7549,0.7787,0.9723,3.9447,0.9881,9.174,0.7075,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,55632,3011,393,10836,540,10644,0,385,102,415,292,33,52,2704,564,125,101,17.8,2.3,18.7,0.9,18.3,0.0,0.7,0.2,0.7,0.5,0.1,0.1,4.7,1.0,0.2,0.2
48,Texas,TX,48003,Andrews County,48003,"Andrews County, Texas",1500.720658314316,18362,0,6976,18,6603,171,4099,937,259,139,1497,358,2890,443,4533,694,1754,80,5623,46,2173,436,357,163,1389,345,11305,14,172,126,1376,264,365,141,108,81,136,13,22.5,5.1,2.7,1.4,22.7,5.4,26.2,4.0,24.9,3.8,9.6,0.4,30.6,0.3,11.9,2.4,5.4,2.5,8.2,2.0,61.6,0.1,2.5,1.8,19.7,3.8,5.5,2.1,1.6,1.2,0.7,0.1,0.3636,0.1858,0.6206,0.8735,0.9209,2.9644,0.7036,0.0237,0.9368,0.1858,0.3913,0.8656,2.4032,0.4625,0.7787,0.7787,0.7787,0.5692,0.7787,0.7984,0.0514,0.1107,2.3084,0.3953,8.4547,0.6087,0,0,0,0,1,1,0,1,0,0,0,1,0,0,0,0,0,0,0,0,2,17159,610,211,417,114,10638,0,87,38,0,23,0,23,151,126,12,22,9.2,3.2,2.3,0.6,57.9,0.0,0.5,0.2,0.0,0.3,0.0,0.3,0.8,0.7,0.1,0.1
48,Texas,TX,48005,Angelina County,48005,"Angelina County, Texas",797.86465166262,86608,0,36619,54,31583,510,25864,1960,2365,431,7797,747,9080,683,15733,1227,14097,59,22010,109,16138,1030,2976,488,2940,531,35256,177,2246,408,6679,753,1258,263,1756,336,3146,40,30.8,2.3,6.0,1.1,24.7,2.3,16.0,1.2,18.6,1.4,16.3,0.1,25.4,0.1,19.1,1.2,9.4,1.5,3.6,0.7,40.7,0.2,6.1,1.1,18.2,2.1,4.0,0.8,5.6,1.1,3.6,0.0,0.7589,0.7549,0.7787,0.5652,0.6364,3.4941,0.8498,0.4111,0.6838,0.7787,0.8538,0.5968,3.3242,0.9249,0.4625,0.4625,0.4625,0.8142,0.7154,0.5968,0.6601,0.6877,3.4742,0.9249,10.755,0.9289,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,90047,3549,506,10924,737,19893,0,809,127,368,326,0,35,3101,738,161,169,11.2,1.6,12.6,0.9,23.0,0.0,0.9,0.1,0.4,0.4,0.0,0.1,3.6,0.9,0.2,0.2
48,Texas,TX,48007,Aransas County,48007,"Aransas County, Texas",252.068582213698,24048,0,15600,26,11412,504,6251,964,423,249,3083,604,2167,537,3671,767,6646,260,4187,102,4005,668,456,229,171,173,8208,28,821,259,2454,440,582,278,580,280,334,10,26.3,4.1,4.4,2.6,27.0,5.2,11.4,2.8,15.5,3.2,27.6,1.1,17.4,0.4,16.9,2.8,4.0,2.0,0.7,0.8,34.1,0.1,5.3,1.7,15.7,2.8,5.1,2.4,5.1,2.5,1.4,0.0,0.5534,0.4704,0.8854,0.2213,0.3399,2.4704,0.502,0.9209,0.0435,0.6482,0.1976,0.0632,1.8734,0.1304,0.3281,0.3281,0.3281,0.7905,0.6206,0.7549,0.581,0.3874,3.1344,0.8142,7.8063,0.4783,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,1,20570,1207,308,202,170,6951,0,419,309,118,79,0,28,518,265,0,28,10.6,2.6,0.8,0.7,28.9,0.0,1.7,1.3,0.5,0.3,0.0,0.2,2.2,1.1,0.0,0.2
48,Texas,TX,48009,Archer County,48009,"Archer County, Texas",903.288791561482,8649,0,3910,26,3367,121,1618,270,129,58,694,135,533,117,1423,242,1783,39,1962,24,1512,134,154,53,102,80,1110,22,11,24,402,92,56,34,85,40,66,7,18.9,3.1,3.1,1.4,20.6,3.9,8.8,2.0,16.6,2.8,20.6,0.5,22.7,0.3,17.6,1.6,4.6,1.6,1.2,1.0,12.8,0.3,0.3,0.6,10.3,2.4,1.7,1.0,2.5,1.2,0.8,0.1,0.2095,0.249,0.4348,0.087,0.4625,1.4428,0.1502,0.6917,0.3715,0.6877,0.2688,0.1186,2.1383,0.2688,0.0079,0.0079,0.0079,0.1462,0.332,0.1542,0.1265,0.1462,0.9051,0.0198,4.4941,0.0395,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6470,565,102,46,38,745,0,16,21,32,21,0,21,270,56,1,3,16.8,3.0,0.5,0.4,8.6,0.0,0.2,0.2,0.4,0.2,0.0,0.6,3.1,0.6,0.0,0.1
48,Texas,TX,48011,Armstrong County,48011,"Armstrong County, Texas",909.12255880367,1912,145,884,50,725,69,271,115,2,3,121,49,96,57,134,48,549,62,425,68,217,64,35,24,17,61,249,191,0,21,68,31,7,19,0,15,59,7,14.7,6.1,0.2,0.4,16.7,6.6,7.2,4.2,7.3,2.6,28.7,3.2,22.2,2.7,11.7,3.3,4.8,3.3,0.9,3.4,13.0,9.9,0.0,2.4,7.7,3.5,1.0,2.6,0.0,6.7,3.1,0.3,0.0909,0.0277,0.2016,0.0474,0.0158,0.3834,0.0158,0.9447,0.3083,0.1739,0.2925,0.087,1.8064,0.1186,0.0119,0.0119,0.0119,0.0,0.1976,0.087,0.0,0.664,0.9486,0.0237,3.1503,0.0079,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,1,1276,84,46,16,31,180,70,2,3,21,19,0,15,30,18,0,15,11.6,6.4,0.8,1.7,9.4,3.3,0.1,0.2,1.1,1.0,0.0,2.6,1.6,1.0,0.0,2.6
48,Texas,TX,48013,Atascosa County,48013,"Atascosa County, Texas",1219.54166329991,49403,0,18858,46,15920,452,11523,1357,1408,353,3143,478,6130,545,10474,1015,7323,85,13298,101,5760,733,1269,323,2718,643,33940,224,277,182,6383,657,1288,334,882,298,460,14,23.7,2.8,6.4,1.6,19.7,2.9,19.4,1.7,21.4,2.1,14.8,0.2,26.9,0.2,11.8,1.5,7.9,2.0,5.9,1.4,68.7,0.5,1.4,1.0,33.8,3.5,8.1,2.1,5.5,1.8,0.9,0.0,0.4269,0.7826,0.3636,0.7036,0.8103,3.087,0.7312,0.2885,0.7984,0.1818,0.7352,0.7905,2.7944,0.7312,0.8379,0.8379,0.8379,0.3794,0.9802,0.9289,0.6324,0.1818,3.1027,0.8063,9.822,0.8063,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,2,2,39531,2429,484,472,148,32436,0,255,23,20,24,0,31,720,238,37,54,15.3,3.0,1.0,0.3,65.7,0.0,0.5,0.1,0.0,0.1,0.0,0.1,1.5,0.5,0.1,0.1
48,Texas,TX,48015,Austin County,48015,"Austin County, Texas",646.495319713658,30406,0,13870,37,11913,331,6684,1110,576,185,2689,413,2540,395,4217,680,6070,113,7171,92,3915,587,808,282,995,319,12124,134,223,132,3065,439,677,263,419,142,301,13,22.2,3.7,3.8,1.2,22.6,3.4,12.1,1.9,14.0,2.3,20.0,0.4,23.6,0.3,13.0,1.9,6.8,2.4,3.5,1.1,39.9,0.4,1.6,1.0,22.1,3.2,5.7,2.2,3.5,1.2,1.0,0.0,0.3518,0.3399,0.6047,0.2609,0.2411,1.7984,0.2372,0.6364,0.4822,0.2806,0.581,0.5771,2.5573,0.5613,0.4427,0.4427,0.4427,0.4229,0.8419,0.8103,0.336,0.2213,2.6324,0.5455,7.4308,0.4111,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,31645,2308,302,2625,159,8572,0,147,104,29,39,0,31,640,232,111,104,19.4,2.3,8.6,0.5,28.2,0.0,0.5,0.3,0.1,0.1,0.0,0.2,2.1,0.8,0.4,0.3
48,Texas,TX,48017,Bailey County,48017,"Bailey County, Texas",826.971482595074,6902,0,2456,143,1933,229,1275,439,65,65,288,123,1162,288,2154,625,855,196,1858,131,876,229,240,133,1171,441,4961,197,6,23,232,141,105,91,255,142,184,8,19.1,6.6,2.1,2.1,14.9,6.1,26.8,5.9,32.1,9.3,12.4,2.8,26.9,1.9,13.0,3.4,12.4,6.7,18.5,6.9,71.9,2.9,0.2,0.9,9.4,5.7,5.4,4.7,13.2,7.2,2.7,0.1,0.2253,0.1107,0.1186,0.8854,0.9921,2.3321,0.4466,0.1265,0.7984,0.2806,0.9486,0.9763,3.1304,0.8735,0.8735,0.8735,0.8735,0.1265,0.2885,0.7866,0.9881,0.6285,2.8182,0.6443,9.1542,0.7036,0,0,0,0,1,1,0,0,0,1,1,2,0,0,0,0,0,1,0,1,4,7380,373,139,16,27,4688,191,92,58,70,60,0,21,95,95,0,21,19.3,6.8,0.2,0.4,67.9,2.8,1.3,0.8,1.0,0.9,0.0,0.7,1.4,1.4,0.0,0.7
48,Texas,TX,48019,Bandera County,48019,"Bandera County, Texas",790.993224098474,21182,0,11463,29,8532,301,4471,725,656,235,1727,304,1307,233,2914,454,5919,46,3550,92,3958,476,289,172,480,248,5492,203,22,38,2983,406,335,153,130,71,472,39,21.5,3.5,6.7,2.3,20.2,3.5,8.0,1.4,13.9,2.2,27.9,0.2,16.8,0.4,18.8,2.3,3.4,2.0,2.3,1.2,25.9,1.0,0.2,0.3,26.0,3.5,3.9,1.8,1.5,0.8,2.2,0.2,0.3083,0.8142,0.4032,0.0672,0.2372,1.8301,0.253,0.9249,0.0316,0.7391,0.1225,0.3478,2.1659,0.2846,0.1779,0.1779,0.1779,0.1265,0.9328,0.581,0.0474,0.5692,2.2569,0.3755,6.4308,0.2292,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,1,0,0,0,1,2,13038,1029,248,197,79,4342,0,100,45,114,82,0,28,606,223,133,115,12.1,2.9,0.9,0.4,20.5,0.0,0.5,0.2,0.5,0.4,0.0,0.2,2.9,1.1,0.6,0.5
