FIPS,svi_US,svi_TX
48001,0.8428,0.7075
48003,0.6419,0.6087
48005,0.9889,0.9289
48007,0.9376,0.4783
48009,0.2301,0.0395
48011,0.1356,0.0079
48013,0.7877,0.8063
48015,0.7613,0.4111
48017,0.7928,0.7036
48019,0.6104,0.2292
48021,0.8008,0.6047
48023,0.3087,0.1462
48025,0.9472,0.7747
48027,0.9214,0.6877
48029,0.92490000000000006,0.7589
48031,0.3297,0.0277
48033,0.3396,0.0119
48035,0.6486,0.249
48037,0.8581,0.5929
48039,0.6174,0.2727
48041,0.8132,0.4269
48043,0.7849,0.3281
48045,0.5197,0.3913
48047,0.9764,0.8577
48049,0.7855,0.6443
48051,0.5226,0.2055
48053,0.6076,0.2767
48055,0.9055,0.8261
48057,0.7393,0.4229
48059,0.2778,0.0791
48061,0.9828,0.9723
48063,0.8717,0.8103
48065,0.0379,0.004
48067,0.8393,0.5217
48069,0.8409,0.6917
48071,0.4742,0.1304
48073,0.9494,0.9051
48075,0.718,0.5296
48077,0.2295,0.0237
48079,0.9026,0.8893
48081,0.4924,0.2648
48083,0.6117,0.3992
48085,0.2931,0.0711
48087,0.9624,0.7312
48089,0.7339,0.498
48091,0.2992,0.0514
48093,0.6913,0.4308
48095,0.4987,0.5731
48097,0.6394,0.3202
48099,0.816,0.4348
48101,0.8651,0.3557
48103,0.6388,0.6285
48105,0.7027,0.2372
48107,0.9278,0.8814
48109,0.985,0.7391
48111,0.6305,0.5138
48113,0.8899,0.8142
48115,0.9908,0.9209
48117,0.7654,0.6798
48119,0.3504,0.087
48121,0.3447,0.0949
48123,0.874,0.581
48125,0.8829,0.3874
48127,1,0.996
48129,0.3383,0.1146
48131,0.9825,0.9407
48133,0.8237,0.4901
48135,0.8985,0.9091
48137,0.6735,0.5889
48139,0.5334,0.2095
48141,0.9803,0.9565
48143,0.7998,0.4585
48145,0.9905,0.83
48147,0.5681,0.2451
48149,0.4535,0.1502
48151,0.2441,0.1225
48153,0.7616,0.6996
48155,0.6881,0.336
48157,0.4513,0.1542
48159,0.4309,0.0632
48161,0.8472,0.4387
48163,0.9838,0.913
48165,0.7584,0.6403
48167,0.7352,0.3715
48169,0.6359,0.5968
48171,0.5923,0.3834
48173,0.352,0.1067
48175,0.543,0.1976
48177,0.8867,0.8419
48179,0.7759,0.6482
48181,0.6741,0.3083
48183,0.9128,0.6008
48185,0.8749,0.668
48187,0.5331,0.1818
48189,0.9313,0.8696
48191,0.9045,0.7115
48193,0.5882,0.2609
48195,0.7638,0.2846
48197,0.6445,0.1383
48199,0.4889,0.2964
48201,0.8953,0.834
48203,0.8959,0.6601
48205,0.5964,0.1779
48207,0.9386,0.6206
48209,0.6585,0.2885
48211,0.6941,0.3399
48213,0.859,0.5771
48215,0.9882,0.9763
48217,0.8781,0.585
